1000;195660984
1000;29421496
1000;247560641
1000;35127211
1000;28116331
1500;538045603
1500;212986374
1500;217605247
1500;103253577
1500;93939910
2000;475041466
2000;174167991
2000;192682135
2000;216285910
2000;203124007
2500;574762350
2500;382295805
2500;378422508
2500;523749059
2500;492740791
3000;3671885710
3000;584629720
3000;2524036305
3000;904070621
3000;790677393
3500;2838148711
3500;1239526403
3500;1255020998
3500;3555623882
3500;2195396143
4000;9039140854
4000;3236296847
4000;6377514800
4000;4757105579
4000;1764640743
4500;6650390876
4500;2879385487
4500;3156703532
4500;2467654163
4500;3089807330
5000;9555873084
5000;11143055427
5000;11754471825
5000;11180898877
5000;11840600648
5500;6944591581
5500;6394005197
5500;6087901359
5500;7511173999
5500;5309117021
6000;8758758580
