200;20491022
200;5236387
200;5153563
200;5220689
200;5640207
300;6964551
300;5694560
300;5328266
300;5112273
300;10476694
400;8381276
400;4601057
400;8339394
400;17125632
400;4202478
500;6331302
500;7203408
500;8654281
500;11437776
500;10197010
600;7048219
600;11584129
600;11035591
600;30513971
600;8190340
700;17295929
700;12986341
700;17697423
700;20674890
700;26436829
800;27458253
800;27246046
800;20269729
800;18176095
800;18720375
900;25790221
900;29153943
900;24590920
900;44895502
900;43075978
1000;57915168
1000;36025226
1000;44403614
1000;38247667
1000;67890498
1100;72963977
1100;55917014
1100;49728894
1100;43621241
1100;57526854
1200;98242659
1200;73812366
1200;43754125
1200;54121100
1200;68900668
1300;72034096
1300;82484123
1300;82194454
1300;86490293
1300;61590744
1400;87862705
1400;78617492
1400;115941569
1400;82913899
1400;162910546
1500;110056853
1500;109335386
1500;111643089
1500;113541653
1500;168286911
1600;151043303
1600;124174523
1600;144574977
1600;190671915
1600;142667885
1700;143123950
1700;176729147
1700;403841089
1700;322738443
1700;298362221
1800;292151166
1800;217885536
1800;187806527
1800;179750834
1800;165115470
1900;222476861
1900;361830923
1900;197742860
1900;190416566
1900;184386496
2000;286703582
2000;351839975
2000;268059801
2000;186998806
2000;307920651
2100;413880643
2100;404758216
2100;342465177
2100;262692308
2100;260246088
2200;277395950
2200;367475831
2200;344113696
2200;353752821
2200;340274346
2300;400007859
2300;410432485
2300;394143097
2300;325395909
2300;315718708
2400;324813465
2400;349272964
2400;347565618
2400;358989165
2400;494752019
2500;594301581
2500;322371054
2500;360555949
2500;1622838372
2500;486527904
2600;494761080
2600;408909471
2600;567403109
2600;603693375
2600;411188293
2700;882345545
2700;432816618
2700;588048152
2700;694227038
2700;460201207
2800;688485485
2800;483059045
2800;677392275
2800;522371002
2800;775663160
2900;907666017
2900;834875844
2900;927501111
2900;1156817997
2900;579601767
3000;920343828
3000;1172747081
3000;2782126263
3000;598639190
3000;1152737862
3100;990728821
3100;860089451
3100;938649527
3100;915433218
3100;2513667967
