Wielkosc;Czas nano sekundy;q;T(N);;
2900;927501111;0,918573641;9244695215;;
2900;1156817997;0,909815282;11641366103;;
2900;579601767;0,937784562;5658727226;;
3000;920343828;0,918883798;9170259981;;
3000;1172747081;0,909278627;11808630022;;
3000;2782126263;0,876616428;29057575096;;
3000;598639190;0,936438342;5852994223;;
3000;1152737862;0,909954034;11598537771;;
3000;1489702345;0,899992408;15154890183;;
3000;7575271361;0,841564225;82414393569;;
3000;694072378;0,930325755;6830647205;;
3000;979751092;0,91638537;9788806572;;
3000;1148319438;0,910104894;11552165565;;
3100;990728821;0,915941748;9903280511;;
3100;860089451;0,921603716;8544596169;;
3100;938649527;0,918095676;9360685661;;
3100;915433218;0,919098117;9119203957;;
3100;2513667967;0,880330889;26142920842;;
